City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Zhanaozen,KZ,69.03,clear sky,43.3,52.8,K.korabay 28A
545,Farah,AF,69.37,clear sky,32.5,62.5,
546,Fare,PF,81.57,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
552,Lashio,MM,65.79,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
554,Tessalit,ML,87.35,clear sky,20.1986,1.0114,
557,Taft,IR,73.4,dust,31.7471,54.2088,بوم گردی حاجی زینل تفت
558,Makakilo City,US,78.8,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
561,Pitimbu,BR,84.2,light rain,-7.4706,-34.8086,Reserva do Abiaí
562,Tecoanapa,MX,85.32,clear sky,16.5167,-98.75,Hotel Manglares
563,Alto Paraguai,BR,80.78,overcast clouds,-14.5136,-56.4825,Good Rest Palace Hotel
564,Tsaratanana,MG,72.68,overcast clouds,-16.7833,47.65,
566,Mattru,SL,82.65,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
567,Antalaha,MG,74.16,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
568,Enterprise,US,79.0,broken clouds,36.0252,-115.2419,Las Vegas Motorcoach Resort
569,Igdir,TR,66.2,few clouds,39.9237,44.045,Hotel Golden Lightning
570,Buchanan,LR,80.6,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
571,Teabo,MX,102.72,clear sky,20.4,-89.2833,Comité Directivo Municipal del PAN de Teabo
573,Khorramshahr,IR,75.2,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
574,Mayumba,GA,80.69,light rain,-3.432,10.6554,LIKWALE LODGE
576,Tarauaca,BR,83.46,overcast clouds,-8.1614,-70.7656,Flat Temporada
577,Gladstone,AU,69.8,light rain,-23.85,151.25,Highpoint International
581,Jacareacanga,BR,91.4,clear sky,-6.2222,-57.7528,Casa do Ian😎
584,Ibra,OM,73.18,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
586,Ugoofaaru,MV,82.38,clear sky,5.6667,73.0,Ungoofaaru Inn
587,Laguna,US,71.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
588,Coruripe,BR,81.09,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
589,Luganville,VU,79.23,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
591,Tocopilla,CL,70.11,overcast clouds,-22.092,-70.1979,Hotel Galvarino
592,Mbuji-Mayi,CD,70.7,overcast clouds,-6.15,23.6,GKT Hotel
596,Kamina,CD,65.71,overcast clouds,-8.7386,24.9906,Guest House Florvia
599,Buenavista,PH,73.94,broken clouds,8.9769,125.4089,Room For Rent
601,Saint-Joseph,RE,78.8,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
604,Balad,IQ,80.82,overcast clouds,34.0164,44.1453,رضاوي زنوبة
605,Chau Doc,VN,77.38,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
607,Tubuala,PA,75.2,broken clouds,9.5167,-79.0333,Río Nabagana
611,Latung,PH,81.45,broken clouds,5.5,120.8833,
612,Baiao,BR,79.68,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
613,Benguela,AO,81.03,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
614,Ontario,US,79.0,few clouds,34.0633,-117.6509,American Inn
616,Yanam,IN,77.5,broken clouds,16.7333,82.2167,The Regency Hotel
